id,name,scriptid,scripttype,owner,scriptfile,isinactive
3207,Versapay Resolve Settlement Batch,customscript_versapay_settlement_batch,SCRIPTLET,17891,1250250,F
3211,Versapay Resolve Settlement Batch Exc,customscript_versapay_settlem_batch_exc,SCRIPTLET,17891,1250195,F
3209,Versapay SL Paylink,customscript_versapay_sl_paylink,SCRIPTLET,17891,1250202,T
3206,Versapay SS Clover Device List,customscript_versapay_ss_device_list,SCRIPTLET,17891,1250230,F
3214,Versapay SS Wizard,customscript_versapay_ss_wizard,SCRIPTLET,17891,1250249,F
3213,Versapay Settlement and Fee Report,customscript_versapay_settlement_fee_sl,SCRIPTLET,17891,1250257,F
3208,Versapay Signature Capture,customscript_versapay_sig_capture_ss,SCRIPTLET,17891,1250266,F
3169,inventory_lookup_suitelet.js,customscript_inventory_lookup_suitelet,SCRIPTLET,17891,1193870,F
99,payment_batch_updater_su,customscript_8859_batch_updater_su,SCRIPTLET,5,1023,F
3449,unlock_suitelet.js,customscript_unlocksuiteletjs,SCRIPTLET,17891,1413027,F
4724,AI Companion Role Mapper Install,customscript_atlas_aicomp_role_mapper,SDFINSTALLATION,17891,1641547,F
4726,AI Companion SDF Prompt Loader,customscript_atlas_aicomp_sdf_prmtldr,SDFINSTALLATION,17891,1641546,F
583,BF SDF Installation - Cert Creation,customscript_bf_sdf_install_certcreation,SDFINSTALLATION,3,6154,F
585,BF SDF Installation - FI FP Creation,customscript_bf_sdf_install_fifpcreation,SDFINSTALLATION,3,6156,F
584,BF SDF Installation - Migrate Exclusion,customscript_bf_sdf_install_exclusion,SDFINSTALLATION,3,6155,F
1809,BF SDF Installation - Unregister SE,customscript_bf_sdf_install_issue792636,SDFINSTALLATION,-5,773934,F
3359,FA | SDF Installation,customscript_fa_sdf_install,SDFINSTALLATION,17891,1400966,F
4115,LA Installation Script,customscript_lsp_sdf_installation,SDFINSTALLATION,17891,1587252,F
171,NSAPM After Install,customscript_nsapm_afterinstall,SDFINSTALLATION,5,1092,F
170,NSAPM Before Install,customscript_nsapm_beforeinstall,SDFINSTALLATION,5,1091,F
3569,Ramp Installation Script,customscript_ramp_sdf_installation,SDFINSTALLATION,-5,1498631,F
5643,USR - SDF Installer,customscript_usr_sdf_installer,SDFINSTALLATION,-5,1714791,F
959,spa_scriptname_custspa_cash360,custscript_custspa_cash360,SPASERVERSCRIPT,-5,164096,F
4214,spa_scriptname_custspa_lsp_isocustomization,custscript_custspa_lsp_isocustomization,SPASERVERSCRIPT,17891,1587403,F
4215,spa_scriptname_custspa_lsp_page,custscript_custspa_lsp_page,SPASERVERSCRIPT,17891,1587370,F
4216,spa_scriptname_custspa_lsp_templates_page,custscript_custspa_lsp_templates_page,SPASERVERSCRIPT,17891,1587365,F
5543,spa_scriptname_custspa_usr_drilldown,custscript_custspa_usr_drilldown,SPASERVERSCRIPT,-5,1714795,F
2324,spa_scriptname_custspa_usr_report_gen,custscript_custspa_usr_report_gen,SPASERVERSCRIPT,17891,807349,F
