depid,script,deployid,recordtype,isdeployed,status
1535,1309,customdeploy_fam_generateleasesched_mr,,T,NOTSCHEDULED
1536,1310,customdeploy_fam_deleteassetdhr_mr,,T,NOTSCHEDULED
1537,1311,customdeploy_fam_mr_updateassetinvoice,,T,NOTSCHEDULED
1538,1312,customdeploy_fam_postdepr_nobook_mr,,T,NOTSCHEDULED
1539,1313,customdeploy_fam_mr_proposalsplit,,T,NOTSCHEDULED
1540,1314,customdeploy_fam_addassetvals_mr,,T,NOTSCHEDULED
1541,1315,customdeploy_fam_createleasepayment_mr,,T,NOTSCHEDULED
1542,1316,customdeploy_fam_updcomass_mr,,T,NOTSCHEDULED
1543,1317,customdeploy_fam_mr_rollbackrecords,,T,NOTSCHEDULED
1544,1318,customdeploy_fam_migrateleasecontract_mr,,T,NOTSCHEDULED
1545,1319,customdeploy_fam_precalc_mr,,T,NOTSCHEDULED
1546,1320,customdeploy_fam_recognize_leaseint_mr,,T,NOTSCHEDULED
1547,1321,customdeploy_fam_migratetoprecompute_mr,,T,NOTSCHEDULED
1548,1322,customdeploy_fam_migrateleasesummary_mr,,T,NOTSCHEDULED
1549,1323,customdeploy_fam_createjournal_mr,,T,NOTSCHEDULED
1550,1324,customdeploy_fam_convertassetids_mr,,T,NOTSCHEDULED
1551,1325,customdeploy_fam_deleteasset_mr,,T,NOTSCHEDULED
1552,1326,customdeploy_fam_attachleasepayment_mr,,T,NOTSCHEDULED
1553,1327,customdeploy_fam_reverse_intjrns_mr,,T,NOTSCHEDULED
1554,1328,customdeploy_fam_generatedeprmonth_mr,,T,NOTSCHEDULED
1555,1329,customdeploy_fam_deleteoldforecast_mr,,T,NOTSCHEDULED
1556,1330,customdeploy_fam_deletescheduledhr_mr,,T,NOTSCHEDULED
1557,1331,customdeploy_fam_migrate_postingtax_mr,,T,NOTSCHEDULED
1558,1332,customdeploy_fam_retrieve_assetvalues_mr,,T,NOTSCHEDULED
1559,1333,customdeploy_fam_postdepr_updateasset_mr,,T,NOTSCHEDULED
1560,1334,customdeploy_fam_setup_accountrecords,,T,NOTSCHEDULED
1561,1335,customdeploy_fam_mr_postprocess,,T,NOTSCHEDULED
1562,1336,customdeploy_fam_transfer_validate_mr,,T,NOTSCHEDULED
1563,1337,customdeploy_fam_cleanupdeprfiles_mr,,T,NOTSCHEDULED
1564,1337,customdeploy_fam_rec_cleanupdeprfiles_mr,,T,SCHEDULED
1565,1338,customdeploy_fam_transferasset_mr,,T,NOTSCHEDULED
