scriptid,category,total_hits,file_count,surfaces
custitem_la_room_2,la_field,4,4,objects
custitem_la_safety_listing,keep20,6,6,filecabinet+objects
custitem_la_safety_rating,keep20,6,6,filecabinet+objects
custitem_la_shipped_via,la_field,7,7,filecabinet+objects
custitem_la_sku,la_identity,21,19,filecabinet+objects
custitem_la_small_thumbnail,la_field,4,4,objects
custitem_la_special_feature,la_field,4,4,objects
custitem_la_spec_sheet,retire_resolved,11,11,filecabinet+objects
custitem_la_status_date,la_field,4,4,objects
custitem_la_sub_brand,la_field,4,4,objects
custitem_la_suffix,la_field,4,4,objects
custitem_la_switch,la_field,4,4,objects
custitem_la_thumbnail,la_field,4,4,objects
custitem_la_title_20,la_field,4,4,objects
custitem_la_title_24,la_field,4,4,objects
custitem_la_top_to_outlet,la_field,4,4,objects
custitem_la_umap,la_field,4,4,objects
custitem_la_unique_id,la_identity,15,13,filecabinet+objects
custitem_la_unit_increment,la_field,4,4,objects
custitem_la_unit_of_measure,la_field,4,4,objects
custitem_la_upc,keep20,9,9,filecabinet+objects
custitem_la_voltage,keep20,6,6,filecabinet+objects
custitem_la_weight_grams,la_field,6,6,filecabinet+objects
custitem_la_width,keep20,5,5,filecabinet+objects
custitem_la_width_diameter,retire_resolved,4,4,objects
custitem_la_wire,la_field,6,6,filecabinet+objects
custitemcustitem_la_weight,la_field,4,4,objects
custitem_laitem_do_not_update,la_adjacent,6,6,objects
custitem_lights_sku,la_identity,6,6,objects
custitem5,repurpose,4,4,objects
custitem6,protected,8,8,objects
custitem7,repurpose,4,4,objects
custitem_atlas_closeout,atlas,3,3,objects
custitem_atlas_department,atlas,4,4,objects
custitem_atlas_item_image,atlas,5,5,objects
custitem_atlas_season,atlas,4,4,objects
custitem_atlas_style,repurpose,27,27,objects
custitem_zastro_image_url,zastro,5,5,objects
custitem_zastro_la_updated_at,zastro,6,5,filecabinet+objects
custitem_zastro_special_order,zastro,21,19,filecabinet+objects
