scriptid,category,file,hits
custitem_la_blade_qty,la_field,objects:entryform/custform_217_7513000_136.xml,1
custitem_la_blade_qty,la_field,objects:itemcustomfield/custitem_la_blade_qty.xml,1
custitem_la_blade_span,la_field,filecabinet:SuiteScripts/LightsAmericaIntegration/copy_item_ue_null_la_fields.js,1
custitem_la_blade_span,la_field,filecabinet:SuiteScripts/pr_la_item_update.js,1
custitem_la_blade_span,la_field,objects:entryform/custform_128_7513000_144.xml,1
custitem_la_blade_span,la_field,objects:entryform/custform_174_7513000_794.xml,1
custitem_la_blade_span,la_field,objects:entryform/custform_217_7513000_136.xml,1
custitem_la_blade_span,la_field,objects:itemcustomfield/custitem_la_blade_span.xml,1
custitem_la_blade_type,la_field,filecabinet:SuiteScripts/LightsAmericaIntegration/copy_item_ue_null_la_fields.js,1
custitem_la_blade_type,la_field,filecabinet:SuiteScripts/pr_la_item_update.js,1
custitem_la_blade_type,la_field,objects:entryform/custform_128_7513000_144.xml,1
custitem_la_blade_type,la_field,objects:entryform/custform_174_7513000_794.xml,1
custitem_la_blade_type,la_field,objects:entryform/custform_217_7513000_136.xml,1
custitem_la_blade_type,la_field,objects:itemcustomfield/custitem_la_blade_type.xml,1
custitem_la_bulb_base,keep20,filecabinet:SuiteScripts/LightsAmericaIntegration/copy_item_ue_null_la_fields.js,1
custitem_la_bulb_base,keep20,filecabinet:SuiteScripts/pr_la_item_update.js,1
custitem_la_bulb_base,keep20,filecabinet:SuiteScripts/pr_new_la_create_items.js,1
custitem_la_bulb_base,keep20,filecabinet:SuiteScripts/pr_new_la_update_items.js,1
custitem_la_bulb_base,keep20,objects:entryform/custform_128_7513000_144.xml,1
custitem_la_bulb_base,keep20,objects:entryform/custform_174_7513000_794.xml,1
custitem_la_bulb_base,keep20,objects:entryform/custform_217_7513000_136.xml,1
custitem_la_bulb_base,keep20,objects:itemcustomfield/custitem_la_bulb_base.xml,1
custitem_la_bulb_type,keep20,filecabinet:SuiteScripts/LightsAmericaIntegration/copy_item_ue_null_la_fields.js,1
custitem_la_bulb_type,keep20,filecabinet:SuiteScripts/pr_la_item_update.js,1
custitem_la_bulb_type,keep20,filecabinet:SuiteScripts/pr_new_la_create_items.js,1
custitem_la_bulb_type,keep20,filecabinet:SuiteScripts/pr_new_la_update_items.js,1
custitem_la_bulb_type,keep20,objects:entryform/custform_128_7513000_144.xml,1
custitem_la_bulb_type,keep20,objects:entryform/custform_174_7513000_794.xml,1
custitem_la_bulb_type,keep20,objects:entryform/custform_217_7513000_136.xml,1
custitem_la_bulb_type,keep20,objects:itemcustomfield/custitem_la_bulb_type.xml,1
custitem_la_bulbs_included,la_field,filecabinet:SuiteScripts/LightsAmericaIntegration/Model/item.js,2
custitem_la_bulbs_included,la_field,filecabinet:SuiteScripts/pr_la_item_update.js,2
custitem_la_bulbs_included,la_field,filecabinet:SuiteScripts/LightsAmericaIntegration/copy_item_ue_null_la_fields.js,1
custitem_la_bulbs_included,la_field,objects:entryform/custform_128_7513000_144.xml,1
custitem_la_bulbs_included,la_field,objects:entryform/custform_174_7513000_794.xml,1
custitem_la_bulbs_included,la_field,objects:entryform/custform_217_7513000_136.xml,1
custitem_la_bulbs_included,la_field,objects:itemcustomfield/custitem_la_bulbs_included.xml,1
custitem_la_canopy,la_field,objects:entryform/custform_128_7513000_144.xml,1
custitem_la_canopy,la_field,objects:entryform/custform_174_7513000_794.xml,1
custitem_la_canopy,la_field,objects:entryform/custform_217_7513000_136.xml,1
custitem_la_canopy,la_field,objects:itemcustomfield/custitem_la_canopy.xml,1
custitem_la_carton_volume,la_field,filecabinet:SuiteScripts/LightsAmericaIntegration/copy_item_ue_null_la_fields.js,1
custitem_la_carton_volume,la_field,filecabinet:SuiteScripts/pr_la_item_update.js,1
custitem_la_carton_volume,la_field,objects:entryform/custform_128_7513000_144.xml,1
custitem_la_carton_volume,la_field,objects:entryform/custform_174_7513000_794.xml,1
custitem_la_carton_volume,la_field,objects:entryform/custform_217_7513000_136.xml,1
custitem_la_carton_volume,la_field,objects:itemcustomfield/custitem_la_carton_volume.xml,1
custitem_la_cartons_per_unit,la_field,objects:entryform/custform_128_7513000_144.xml,1
custitem_la_cartons_per_unit,la_field,objects:entryform/custform_174_7513000_794.xml,1
custitem_la_cartons_per_unit,la_field,objects:entryform/custform_217_7513000_136.xml,1
